epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1471.77,1.21779,1.08944,1.19581,0.54552,0.49971,0.52465,0.33316,1.31585,1.20861,1.23228,0.007921,0.007921,0.007921
44,1501.79,1.21906,1.07777,1.18969,0.64875,0.43584,0.495,0.30722,1.31821,1.22997,1.23114,0.0078715,0.0078715,0.0078715
45,1532.23,1.21179,1.05911,1.18037,0.50789,0.4904,0.47027,0.294,1.34261,1.2561,1.2437,0.007822,0.007822,0.007822
46,1562.79,1.21242,1.06151,1.19268,0.56581,0.42175,0.47215,0.29592,1.34356,1.22821,1.23386,0.0077725,0.0077725,0.0077725
47,1593.51,1.21673,1.05778,1.18816,0.63256,0.43975,0.49177,0.3115,1.31527,1.21325,1.22753,0.007723,0.007723,0.007723
48,1623.38,1.19954,1.04508,1.17578,0.58825,0.43038,0.4967,0.31689,1.31065,1.22562,1.21244,0.0076735,0.0076735,0.0076735
49,1653.38,1.20328,1.03192,1.18162,0.60689,0.41042,0.48178,0.298,1.33133,1.25925,1.22782,0.007624,0.007624,0.007624
50,1683.39,1.19172,1.01481,1.17547,0.65505,0.44719,0.48983,0.31263,1.33944,1.24765,1.23443,0.0075745,0.0075745,0.0075745
51,1713.3,1.20645,1.02274,1.17484,0.53076,0.48645,0.50387,0.31295,1.34608,1.21959,1.24148,0.007525,0.007525,0.007525
52,1742.62,1.18276,0.99513,1.1754,0.57713,0.46141,0.49157,0.30835,1.34616,1.27374,1.24304,0.0074755,0.0074755,0.0074755
53,1772.23,1.20098,0.99776,1.17422,0.6446,0.44503,0.51299,0.31894,1.35566,1.2516,1.24183,0.007426,0.007426,0.007426
54,1802.15,1.16988,0.97965,1.16086,0.64639,0.45589,0.5033,0.31925,1.34584,1.25251,1.24994,0.0073765,0.0073765,0.0073765
55,1832.03,1.16543,0.9622,1.15716,0.57498,0.4764,0.50431,0.31316,1.34644,1.26346,1.24882,0.007327,0.007327,0.007327
56,1861.83,1.17367,0.97742,1.15865,0.52646,0.52387,0.51346,0.3239,1.33006,1.22981,1.23598,0.0072775,0.0072775,0.0072775
57,1891.78,1.1552,0.95046,1.15183,0.5988,0.47845,0.50611,0.31635,1.36112,1.26051,1.24808,0.007228,0.007228,0.007228
58,1921.64,1.16177,0.95133,1.15748,0.55623,0.47946,0.49699,0.30909,1.32746,1.26314,1.2248,0.0071785,0.0071785,0.0071785
59,1951.54,1.16831,0.95703,1.16,0.62899,0.48735,0.49419,0.3079,1.34768,1.22943,1.23083,0.007129,0.007129,0.007129
60,1981.57,1.14849,0.92102,1.15364,0.62442,0.48019,0.5178,0.32954,1.32982,1.21427,1.22913,0.0070795,0.0070795,0.0070795
61,2010.8,1.14526,0.93482,1.15432,0.66311,0.42349,0.51753,0.33516,1.32817,1.1952,1.23067,0.00703,0.00703,0.00703
62,2040.66,1.15447,0.92992,1.14865,0.65646,0.4728,0.51232,0.31977,1.34828,1.22958,1.23346,0.0069805,0.0069805,0.0069805
63,2070.56,1.13863,0.91708,1.14101,0.6169,0.44627,0.48576,0.3067,1.30803,1.25203,1.20949,0.006931,0.006931,0.006931
64,2100.21,1.13,0.89973,1.13805,0.56625,0.48854,0.49182,0.30793,1.33101,1.2644,1.23425,0.0068815,0.0068815,0.0068815
65,2129.54,1.13372,0.89885,1.14289,0.63257,0.44583,0.49593,0.31804,1.30689,1.23504,1.21374,0.006832,0.006832,0.006832
66,2158.96,1.12869,0.90271,1.14093,0.63478,0.46417,0.49509,0.31085,1.29923,1.23569,1.20918,0.0067825,0.0067825,0.0067825
67,2188.45,1.12127,0.88074,1.12929,0.55006,0.47143,0.49754,0.31595,1.33514,1.25522,1.2427,0.006733,0.006733,0.006733
68,2217.89,1.11114,0.8709,1.12357,0.63861,0.47215,0.49217,0.30979,1.33779,1.2276,1.23475,0.0066835,0.0066835,0.0066835
69,2247.81,1.10524,0.86164,1.12975,0.57972,0.4737,0.49407,0.3142,1.30602,1.26655,1.21006,0.006634,0.006634,0.006634
70,2277.39,1.12262,0.88097,1.13401,0.6091,0.48808,0.49767,0.31044,1.32997,1.25433,1.23386,0.0065845,0.0065845,0.0065845
71,2307.21,1.12208,0.86686,1.13212,0.63746,0.45201,0.49878,0.31755,1.29373,1.27224,1.20673,0.006535,0.006535,0.006535
72,2336.66,1.1029,0.84116,1.12476,0.61391,0.47484,0.49982,0.31326,1.33918,1.26771,1.23172,0.0064855,0.0064855,0.0064855
73,2366.15,1.11227,0.85134,1.12961,0.59056,0.45362,0.51073,0.31993,1.33505,1.2559,1.2297,0.006436,0.006436,0.006436
74,2395.99,1.10342,0.84366,1.12315,0.59888,0.50508,0.51627,0.32132,1.33041,1.25375,1.2368,0.0063865,0.0063865,0.0063865
