epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.12,1.4452,2.26379,1.32998,0.50295,0.2093,0.23605,0.14045,1.45519,2.08856,1.3345,0.000415152,0.000415152,0.000415152
2,120.965,1.53641,1.88988,1.39502,0.3607,0.25768,0.21161,0.12236,1.4987,2.37817,1.37872,0.000815348,0.000815348,0.000815348
3,176.734,1.53808,1.87941,1.40947,0.32354,0.29096,0.26688,0.15883,1.5397,1.90467,1.39876,0.00119904,0.00119904,0.00119904
4,235.533,1.52274,1.83331,1.40302,0.35097,0.29716,0.28956,0.17748,1.49669,1.62679,1.35523,0.00117575,0.00117575,0.00117575
5,294.124,1.47676,1.74304,1.37032,0.47002,0.32117,0.32154,0.20418,1.4611,1.5764,1.34851,0.001151,0.001151,0.001151
6,352.89,1.44771,1.6665,1.35617,0.35107,0.38216,0.33566,0.20193,1.44675,1.58114,1.35315,0.00112625,0.00112625,0.00112625
7,412.698,1.42947,1.61298,1.3395,0.39159,0.38401,0.36333,0.2217,1.40478,1.54252,1.32052,0.0011015,0.0011015,0.0011015
8,471.755,1.40312,1.55648,1.3168,0.50666,0.33501,0.39566,0.2469,1.4263,1.42655,1.33942,0.00107675,0.00107675,0.00107675
9,531.443,1.38184,1.52554,1.31758,0.34817,0.39794,0.33721,0.206,1.38191,1.49949,1.29783,0.001052,0.001052,0.001052
10,590.922,1.36844,1.47088,1.30629,0.52908,0.30258,0.36101,0.22402,1.52696,1.63032,1.38875,0.00102725,0.00102725,0.00102725
11,652.77,1.33651,1.43789,1.28915,0.52166,0.35144,0.41016,0.25576,1.38742,1.38546,1.30912,0.0010025,0.0010025,0.0010025
12,711.244,1.33019,1.40396,1.2835,0.5093,0.42395,0.44809,0.2869,1.37773,1.28138,1.29081,0.00097775,0.00097775,0.00097775
13,769.172,1.32232,1.3611,1.27181,0.51641,0.41801,0.44695,0.28158,1.35892,1.29692,1.2768,0.000953,0.000953,0.000953
14,826.663,1.29472,1.34055,1.26143,0.45299,0.43871,0.42745,0.26394,1.40313,1.48149,1.29659,0.00092825,0.00092825,0.00092825
