epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.94792,2.70088,2.7675,1.63475,0.05938,0.52763,0.09566,0.0314,2.19764,3.15559,1.47387,0.000647059,0.000647059,0.000647059
2,11.3977,2.30084,1.85179,1.38227,0.0568,0.50473,0.27645,0.13757,2.35316,2.83207,2.80432,0.00130722,0.00130722,0.00130722
3,16.6319,2.18437,1.72572,1.332,0.79731,0.32092,0.43364,0.2176,2.00787,2.00288,1.45377,0.00196079,0.00196079,0.00196079
4,22.0688,2.13582,1.63653,1.28619,0.59965,0.38656,0.41668,0.21454,1.96084,1.6301,1.38332,0.0019703,0.0019703,0.0019703
5,27.4859,2.09136,1.573,1.27532,0.70587,0.42941,0.48673,0.24512,1.79723,1.4669,1.24685,0.0019604,0.0019604,0.0019604
6,33.0892,2.09689,1.57942,1.28122,0.72984,0.43967,0.49566,0.25359,1.73603,1.40233,1.19063,0.0019505,0.0019505,0.0019505
7,38.6196,2.03681,1.54827,1.26839,0.7,0.44366,0.4949,0.26074,1.72484,1.43452,1.19377,0.0019406,0.0019406,0.0019406
8,44.2477,2.03966,1.54403,1.2748,0.74888,0.44153,0.50996,0.27258,1.73767,1.35325,1.19844,0.0019307,0.0019307,0.0019307
9,49.6543,2.03599,1.52836,1.25016,0.65396,0.35298,0.41414,0.1982,1.92558,1.57424,1.28233,0.0019208,0.0019208,0.0019208
10,55.1173,2.01263,1.49673,1.26236,0.70717,0.39598,0.46323,0.22505,1.7911,1.45102,1.19021,0.0019109,0.0019109,0.0019109
11,61.2116,1.97535,1.46767,1.24207,0.74853,0.43756,0.50536,0.27317,1.75156,1.39369,1.23128,0.001901,0.001901,0.001901
12,67.9965,1.97523,1.46991,1.25034,0.72525,0.43176,0.49155,0.25274,1.88549,1.4211,1.31559,0.0018911,0.0018911,0.0018911
13,74.0339,2.00053,1.46678,1.24587,0.73629,0.41007,0.47902,0.24283,1.80762,1.43731,1.21422,0.0018812,0.0018812,0.0018812
14,80.1694,1.95697,1.44692,1.24129,0.76443,0.43894,0.51316,0.27128,1.74441,1.34238,1.22796,0.0018713,0.0018713,0.0018713
15,86.5967,1.97656,1.47106,1.24885,0.78285,0.4304,0.51039,0.26879,1.74433,1.34007,1.19718,0.0018614,0.0018614,0.0018614
16,92.6957,1.94023,1.4261,1.22661,0.76776,0.43304,0.50896,0.2739,1.75678,1.39705,1.22979,0.0018515,0.0018515,0.0018515
17,98.778,1.96505,1.4556,1.25671,0.77545,0.44977,0.51838,0.27859,1.66936,1.32627,1.20568,0.0018416,0.0018416,0.0018416
18,105.05,1.95793,1.4596,1.24031,0.76675,0.44977,0.51915,0.27722,1.69972,1.35017,1.18358,0.0018317,0.0018317,0.0018317
19,111.225,1.93398,1.42772,1.23491,0.7437,0.43148,0.50456,0.26392,1.69033,1.33045,1.20368,0.0018218,0.0018218,0.0018218
20,117.444,1.9543,1.43048,1.23909,0.69581,0.40122,0.47425,0.23837,1.78845,1.34918,1.20911,0.0018119,0.0018119,0.0018119
21,123.681,1.93043,1.42393,1.23644,0.77386,0.44702,0.51681,0.28356,1.72155,1.36004,1.23827,0.001802,0.001802,0.001802
