epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1689.03,1.10702,0.88023,1.12954,0.58709,0.46095,0.48367,0.31232,1.31549,1.28229,1.22432,0.000404375,0.000404375,0.000404375
43,1720.04,1.10741,0.87668,1.1334,0.64134,0.46416,0.50946,0.32046,1.31739,1.24973,1.23574,0.00038375,0.00038375,0.00038375
44,1750.72,1.09942,0.86375,1.1228,0.58432,0.46204,0.49989,0.31102,1.34198,1.25413,1.23847,0.000363125,0.000363125,0.000363125
45,1781.46,1.08774,0.84121,1.11468,0.57966,0.51057,0.52201,0.32967,1.30041,1.2324,1.21797,0.0003425,0.0003425,0.0003425
46,1812.24,1.09046,0.83578,1.12634,0.54299,0.50816,0.50477,0.32239,1.29473,1.25821,1.20617,0.000321875,0.000321875,0.000321875
47,1843.31,1.08863,0.83594,1.12192,0.59053,0.47721,0.50588,0.31725,1.30783,1.22483,1.22215,0.00030125,0.00030125,0.00030125
48,1874.73,1.07143,0.81181,1.11041,0.58196,0.45345,0.48879,0.31512,1.2908,1.25194,1.21416,0.000280625,0.000280625,0.000280625
49,1911.52,1.07077,0.80672,1.11205,0.60423,0.46772,0.505,0.32503,1.28553,1.24023,1.21682,0.00026,0.00026,0.00026
50,1949.91,1.05847,0.7867,1.10473,0.61044,0.46044,0.50433,0.31944,1.30058,1.24729,1.21862,0.000239375,0.000239375,0.000239375
51,2023.54,1.00466,0.68532,1.07104,0.5729,0.50645,0.50291,0.32605,1.29544,1.2506,1.21573,0.00021875,0.00021875,0.00021875
52,2061.98,0.98157,0.65304,1.06249,0.64281,0.44136,0.49244,0.31724,1.29788,1.28635,1.21661,0.000198125,0.000198125,0.000198125
53,2102.71,0.97559,0.64235,1.05555,0.65688,0.44574,0.48639,0.31097,1.2974,1.30444,1.21734,0.0001775,0.0001775,0.0001775
54,2142,0.95531,0.6233,1.05127,0.6662,0.44196,0.4807,0.30935,1.29885,1.29096,1.22049,0.000156875,0.000156875,0.000156875
55,2180.72,0.95755,0.6199,1.05423,0.66401,0.44447,0.48452,0.30637,1.29826,1.28981,1.21484,0.00013625,0.00013625,0.00013625
56,2219.15,0.94087,0.60259,1.04384,0.68945,0.43672,0.48634,0.31103,1.30698,1.29279,1.21755,0.000115625,0.000115625,0.000115625
57,2257.43,0.93747,0.59302,1.04184,0.63414,0.46333,0.46939,0.29978,1.30484,1.30153,1.21796,9.5e-05,9.5e-05,9.5e-05
58,2295.71,0.92838,0.58425,1.03921,0.64061,0.45372,0.47816,0.30464,1.29835,1.2821,1.21981,7.4375e-05,7.4375e-05,7.4375e-05
59,2335.41,0.92503,0.57645,1.03419,0.64585,0.45501,0.47566,0.30586,1.29296,1.28961,1.21537,5.375e-05,5.375e-05,5.375e-05
60,2367.31,0.91948,0.56602,1.03216,0.68631,0.43922,0.47729,0.30345,1.29406,1.29783,1.21567,3.3125e-05,3.3125e-05,3.3125e-05
