epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.36176,1.19184,2.74707,1.48369,0.8497,0.0882,0.17467,0.09581,1.53843,2.66809,1.89186,0.000545182,0.000545182,0.000545182
2,16.1703,1.19185,1.96757,1.46975,0.7284,0.19495,0.21585,0.10496,1.71238,2.52093,2.32548,0.00108995,0.00108995,0.00108995
3,23.5178,1.19828,1.83036,1.45915,0.69381,0.1691,0.15771,0.07643,1.91019,2.73734,2.51887,0.00162372,0.00162372,0.00162372
4,31.9427,1.2071,1.81131,1.47492,0.64237,0.13718,0.09991,0.04851,2.63413,5.52849,3.02512,0.00161749,0.00161749,0.00161749
5,39.6957,1.16904,1.68275,1.45605,0.80963,0.20578,0.2602,0.15608,1.57655,2.14874,1.94837,0.00160099,0.00160099,0.00160099
6,47.6759,1.12799,1.58635,1.41787,0.7364,0.22924,0.20739,0.11919,1.69935,2.39892,2.04657,0.00158448,0.00158448,0.00158448
7,55.9935,1.10355,1.52247,1.39875,0.80622,0.24368,0.28589,0.1748,1.50283,1.8147,1.87488,0.00156798,0.00156798,0.00156798
8,63.3256,1.10165,1.50143,1.40388,0.78445,0.26534,0.30129,0.17812,1.38525,2.05945,1.75887,0.00155148,0.00155148,0.00155148
9,71.7354,1.08041,1.43224,1.39114,0.77804,0.28159,0.29632,0.17988,1.47803,1.81286,1.79637,0.00153497,0.00153497,0.00153497
10,80.103,1.03338,1.40167,1.34965,0.86052,0.25812,0.30336,0.1856,1.30454,1.874,1.72998,0.00151847,0.00151847,0.00151847
11,88.6831,1.00435,1.31239,1.31837,0.86343,0.30144,0.35552,0.21842,1.23688,1.731,1.71248,0.00150197,0.00150197,0.00150197
12,97.3177,1.03609,1.33392,1.35471,0.82453,0.33394,0.33963,0.21319,1.26129,1.59868,1.72111,0.00148546,0.00148546,0.00148546
13,105.615,1.00723,1.33043,1.33433,0.79382,0.2852,0.28711,0.17446,1.35823,1.56797,1.77081,0.00146896,0.00146896,0.00146896
14,113.686,0.97506,1.31019,1.3123,0.87815,0.29783,0.36833,0.24278,1.09921,1.46663,1.48894,0.00145246,0.00145246,0.00145246
15,121.604,0.97483,1.2554,1.30941,0.84777,0.334,0.50162,0.33265,1.1644,1.38261,1.53731,0.00143595,0.00143595,0.00143595
16,129.485,0.93145,1.2166,1.27681,0.86939,0.33183,0.40203,0.26757,1.12323,1.32296,1.49754,0.00141945,0.00141945,0.00141945
17,137.444,0.92547,1.22076,1.28809,0.85163,0.3213,0.6066,0.45535,1.19462,1.40132,1.65361,0.00140295,0.00140295,0.00140295
18,145.386,0.95538,1.20138,1.30656,0.86681,0.31817,0.38136,0.26391,1.0455,1.24564,1.48528,0.00138644,0.00138644,0.00138644
19,153.355,0.91501,1.17373,1.26896,0.88379,0.23845,0.32741,0.19722,1.16071,1.59015,1.59748,0.00136994,0.00136994,0.00136994
20,161.352,0.88152,1.14131,1.26003,0.8965,0.31408,0.39629,0.2781,1.00383,1.28489,1.40061,0.00135344,0.00135344,0.00135344
21,169.557,0.89737,1.14535,1.25926,0.88326,0.3231,0.41694,0.24455,1.15204,1.3342,1.63015,0.00133693,0.00133693,0.00133693
22,177.408,0.8939,1.16359,1.25956,0.83519,0.34838,0.37944,0.25838,1.05918,1.23041,1.5043,0.00132043,0.00132043,0.00132043
23,185.504,0.87233,1.12699,1.25382,0.88979,0.36643,0.42353,0.28761,0.97721,1.20569,1.41352,0.00130393,0.00130393,0.00130393
24,192.659,0.87994,1.09117,1.26411,0.88736,0.37545,0.42341,0.29719,0.92421,1.09814,1.35055,0.00128742,0.00128742,0.00128742
25,198.954,0.88287,1.1024,1.25278,0.87629,0.3917,0.44164,0.30462,0.97691,1.1422,1.38232,0.00127092,0.00127092,0.00127092
26,206.917,0.87037,1.1271,1.24343,0.91269,0.34982,0.44267,0.2951,0.95612,1.04328,1.32709,0.00125442,0.00125442,0.00125442
27,215.178,0.86666,1.07899,1.25369,0.34495,0.49472,0.44212,0.3119,0.97428,1.18121,1.41605,0.00123791,0.00123791,0.00123791
28,223.026,0.86048,1.04822,1.23329,0.90561,0.37365,0.41474,0.28479,0.98344,1.04274,1.43876,0.00122141,0.00122141,0.00122141
29,230.335,0.82706,1.02176,1.20366,0.88838,0.40072,0.45711,0.33005,0.88972,0.94689,1.27436,0.00120491,0.00120491,0.00120491
30,238.301,0.82569,1.01758,1.21053,0.90998,0.38448,0.48045,0.34845,0.82809,0.979,1.25273,0.0011884,0.0011884,0.0011884
31,246.305,0.84068,1.03796,1.23435,0.3722,0.68141,0.56925,0.412,0.96602,1.08062,1.37391,0.0011719,0.0011719,0.0011719
32,254.34,0.83939,1.06654,1.22424,0.92084,0.34296,0.42699,0.29622,0.9938,1.15841,1.41936,0.0011554,0.0011554,0.0011554
33,262.782,0.83642,1.02186,1.22714,0.90313,0.36462,0.41973,0.30422,0.94937,1.02087,1.34557,0.00113889,0.00113889,0.00113889
34,271.233,0.81118,0.97786,1.20984,0.92443,0.36643,0.45523,0.3382,0.87698,0.98496,1.34829,0.00112239,0.00112239,0.00112239
35,279.585,0.8032,0.99872,1.20274,0.29231,0.44043,0.52376,0.38665,1.02473,1.12884,1.38989,0.00110589,0.00110589,0.00110589
36,286.419,0.78567,0.92466,1.18053,0.90177,0.3913,0.44991,0.33371,0.94501,0.92828,1.31549,0.00108938,0.00108938,0.00108938
37,294.336,0.80376,0.96132,1.20121,0.89965,0.39537,0.43661,0.33151,0.85006,0.95699,1.23357,0.00107288,0.00107288,0.00107288
38,302.327,0.78093,0.95908,1.17949,0.92129,0.40794,0.45681,0.34453,0.79469,0.80409,1.18197,0.00105638,0.00105638,0.00105638
39,310.438,0.78277,0.9105,1.1888,0.33972,0.46292,0.51925,0.39883,0.83656,0.81007,1.23439,0.00103987,0.00103987,0.00103987
40,318.43,0.76145,0.89577,1.17109,0.92237,0.41246,0.45719,0.3444,0.83267,0.83147,1.23377,0.00102337,0.00102337,0.00102337
41,326.845,0.7665,0.91124,1.17676,0.52203,0.70487,0.5809,0.46235,0.77017,0.80672,1.16973,0.00100687,0.00100687,0.00100687
42,335.969,0.75727,0.90842,1.17523,0.58426,0.68863,0.69267,0.57789,0.83767,0.88374,1.22419,0.000990365,0.000990365,0.000990365
43,345.06,0.77079,0.90387,1.17301,0.41063,0.69043,0.68323,0.49876,0.86099,0.96893,1.25156,0.000973861,0.000973861,0.000973861
44,353.852,0.73922,0.89056,1.15754,0.92057,0.4014,0.46085,0.34293,0.86895,0.81475,1.28483,0.000957358,0.000957358,0.000957358
45,362.558,0.72806,0.86915,1.15043,0.90936,0.40761,0.45838,0.33985,0.825,0.83441,1.23993,0.000940855,0.000940855,0.000940855
46,371.661,0.72957,0.84581,1.15093,0.92614,0.38087,0.45808,0.34911,0.77818,0.8561,1.20132,0.000924352,0.000924352,0.000924352
47,379.597,0.71615,0.86943,1.13999,0.94849,0.40859,0.48058,0.36832,0.74229,0.81379,1.12974,0.000907848,0.000907848,0.000907848
48,387.949,0.72461,0.8382,1.13807,0.42387,0.69585,0.5197,0.40837,0.76562,0.78106,1.15092,0.000891345,0.000891345,0.000891345
49,396.205,0.7139,0.83395,1.14175,0.4409,0.70487,0.7291,0.57919,0.78737,0.789,1.18793,0.000874842,0.000874842,0.000874842
50,404.074,0.70909,0.84254,1.13766,0.55728,0.70668,0.60237,0.47646,0.72543,0.74898,1.12486,0.000858338,0.000858338,0.000858338
51,411.528,0.72722,0.86425,1.15996,0.48934,0.95705,0.65378,0.4119,0.78034,0.79141,1.17504,0.000841835,0.000841835,0.000841835
52,418.977,0.69992,0.83063,1.13221,0.48603,0.71029,0.53471,0.4121,0.74109,0.72131,1.1343,0.000825332,0.000825332,0.000825332
53,427.984,0.70994,0.83963,1.13244,0.39607,0.70848,0.49394,0.3849,0.74036,0.73389,1.14015,0.000808828,0.000808828,0.000808828
54,436.981,0.68521,0.81402,1.12844,0.61174,0.70307,0.59509,0.48152,0.7087,0.68483,1.12524,0.000792325,0.000792325,0.000792325
